編號	名稱	分類	子分類	會長頭銜	會長姓名	成立日期	電話	核准立案字號	會址
82	中國五權憲法學會	社會團體	(學術文化團體)	理事長	邵宗海  先生	51/07/29	02-2505-7454		台北市建國北路二段八八號十一樓
83	中國仁正聖經研究學會	社會團體	(宗教團體)	理事長	張振興  先生	79/09/23	02-27209118	840287	台北市信義區信義路5段150巷421弄4號2樓
84	中國仁愛服務協進會   (解散)	社會團體	(社會服務及慈善團體)	理事長	唐灝  	78/11/11	02-2756-9849	台內社字第766192號	台北市忠孝東路五段一之七號八樓
85	中國公共安全協會	社會團體	(社會服務及慈善團體)	理事長	王正德  先生	83/03/26	02-2345-5772	8308382	台北市忠孝東路5段372巷27弄90號4樓
86	中國公共關係協會	社會團體	(學術文化團體)	理事長	袁希光  先生	45/10/21	02-2341-6812		臺北市羅斯福路一段61號7樓
87	中國化妝造型藝術學會   (解散)	社會團體	(經濟業務團體)	理事長	顏美玲  	80/10/22	02-2875-3448	台(80)內社字第8073159號	台北市天母東路六七之一號五樓
88	中國化學會	社會團體	(學術文化團體)	理事長	劉仲明  先生	21/08/01	02-27898573~5	491401	115臺北市南港區南港研究院路2段128號中央研究院化學所A409室
89	中國天人同心協會	社會團體	(社會服務及慈善團體)	理事長	張儀  先生	82/11/23	06-7944852	8228234	臺南市將軍區長榮里165-7號
90	中國天上慈念聖母功德協會   (解散)	社會團體	(宗教團體)	理事長	林陳嬌  	83/03/20	02-2662-3130	8311715	台北縣深坑鄉昇高村昇高坑十三號之一
91	中國天文地理易經學會	社會團體	(學術文化團體)	理事長	陳添旺  先生	100/01/09		1000109804	台南市東區裕信路252號
92	中國天文地理風水學會	社會團體	(學術文化團體)	理事長	吳隆榮  	86/09/07	07-761-2781		高雄市武營路五七七號
93	中國天主教女青年會	社會團體	(宗教團體)	理事長	黃沈守梅  	36/07/26	02-2225-0297		新北市中和區員山路三八七巷八號三樓
94	中國天主教文化協進會	社會團體	(宗教團體)	理事長	麥安泰  先生	30/12/24	02-2552-8151		台北市大同區民生西路247之1號5樓
95	中國天主教震旦之友協會	社會團體	(宗教團體)	理事長	蕭禹新  先生	83/04/09	02-2321-5147	8375440	臺北市內湖區瑞湖街103號5樓-2
96	中國天佛濟世公德會   (解散)	社會團體	(宗教團體)	理事長	吳偉聰  	82/12/18	04-2278-0020	8229661	台中縣太平鄉富宜路八二巷三號
97	中國天佛禪教會	社會團體	(宗教團體)	理事長	印良  先生	100/04/30	02-26658092	1000098998	新北市坪林區大林里靆魚崛26-2號[天佛禪寺]
98	中國天津南開大學台灣校友會	社會團體	(同學校友會)	理事長	謝正一  先生	98/01/18	02-23118248	0980066445	台北市萬華區開封街2段24號2樓
99	中國天真慈安會   (解散)	社會團體	(社會服務及慈善團體)	理事長	宋菊妹  	83/07/30	07-341-6221	台(83)內社字第8304872號	高雄市左營區茱公里藥工巷四號
100	中國天壇九天玄女文化道教會	社會團體	(宗教團體)	理事長	楊正雄  先生	100/12/03	05-6995883		雲林縣東勢鄉月眉村13鄰月眉路13號
101	中國太上全真道教會	社會團體	(宗教團體)	理事長	張金國  先生	88/12/19	04-25989955	8976029	桃園縣新屋鄉中華南路一段253號
102	中國太極氣功十八式運動推展總會	社會團體	(體育運動團體)	理事長	張容菁  女士	81/09/13	04-761-0007	9007334更名換發	彰化市健興路1號彰化縣立體育館室內跑道5號
103	中國孔學會	社會團體	(學術文化團體)	理事長	劉瑛  先生	48/04/21	02-2391-8737		台北市中正區臨沂街十三巷十三號五樓
104	中國少林寺文化發展協會   (解散)	社會團體	(宗教團體)	理事長	張維正  	83/09/10	02-2738-9337	8324709	台北市樂利路十一巷二二號二樓
105	中國廿一世紀現代水墨畫會   (解散)	社會團體	(學術文化團體)	理事長	劉國松  	91/07/15	02-2362-0693		台北市漢口街1段132號4樓之3
106	中國心算學會	社會團體	(學術文化團體)	理事長	蕭麗蘭  女士	80/04/11	07-251-5890	919069	高雄市前金區自強一號22號2樓
107	中國心靈科技研究學會	社會團體	(學術文化團體)	理事長	馬義浩  	91/03/23	03-481-7394	0910071333	台北市建國南路1段327號8樓
108	中國文化大學建築及都市計畫研究所碩專班所友會	社會團體	(同學校友會)	理事長	王弘垚  先生	98/04/11	02-27175899	0980080296	臺北市長安東路2段208號7樓之1
109	中國文化大學政治學友會	社會團體	(同學校友會)	理事長	林忠山  先生	96/05/05	02-2382-0996	0960085643	新北市新店區華城一路50號
110	中國文化大學校友總會	社會團體	(同學校友會)	理事長	唐彥博  先生	96/10/13	02-2861-5872	0960204781	臺北市士林區華岡路55號【中國文化大學大恩館2樓值日室】
111	中國文化大學經濟學系系友會	社會團體	(同學校友會)	理事長	江豐富  先生	101/11/14	02-28610511#29301	1010403484	臺北市士林區華岡路55號文化大學經濟學系
112	中國文化統一促進會	社會團體	(學術文化團體)	理事長	任昌鼎(79)  先生	80/06/17	02-2311-5943	台內社8075073	台北市萬華區長沙街二段四五號五樓
113	中國文化無源慈善會	社會團體	(社會服務及慈善團體)	理事長	洪進福  先生	98/12/19	049-238-0962	0990064970	南投縣草屯鎮土城里三層巷15之51號
114	中國文化環保促進會	社會團體	(學術文化團體)	理事長	鮑幼玉  	81/05/09	02-2343-1331	8185004	新北市汐止區翠峰街二六號
115	中國文化藝術國際交流協會	社會團體	(學術文化團體)	理事長	鄭火土  先生	85/10/20	04-22651850	8536559	臺北市大安區信義路4段265巷10弄1號3樓
116	中國文化觀光研究發展協會   (解散)	社會團體	(經濟業務團體)	理事長	唐學斌  	80/01/05	02-2751-9568		台北市安和路一一號九樓
117	中國文王氣功學會   (解散)	社會團體	(體育運動團體)	理事長	陳秋月  	89/04/22	07-353-3502		高雄市楠梓區旗楠路八九五巷五一弄五號
118	中國文字學會	社會團體	(學術文化團體)	理事長	宋建華  先生	44/05/08	02-2363-0149		台北市大安區和平東路一段一六二號師大國文研究所
119	中國文字龍穴堪輿師研究會	社會團體	(學術文化團體)	理事長	謝宗和  先生	85/01/07	05-221-9511		嘉義縣民雄鄉牛稠溪路五０六號
120	中國文物交流協會	社會團體	(學術文化團體)	理事長	李坤泰  先生	90/10/08	07-5586832	9034273	807高雄市三民區覺民路186號
121	中國文藝工作者協會	社會團體	(學術文化團體)	理事長	王漢金  先生	81/03/21	03-3396609	8106793	桃園縣桃園市育樂街26號
122	中國文藝協會	社會團體	(學術文化團體)	理事長	王吉隆  先生	39/05/04	02-2363-8684	341610	106臺北市大安區羅斯福路3段277號9樓
123	中國日蓮正宗佛教會   (解散)	社會團體	(宗教團體)	理事長	陳世昌  	80/12/15	02-2571-0747		台北市新生北路二段七三號三樓
124	中國水晶花學會   (解散)	社會團體	(學術文化團體)	理事長	吳淑鳳  	82/12/12	02-2752-6672		台北市忠孝東路三段二五一巷四弄十二號
125	中國世界弘道復興協會	社會團體	(宗教團體)	理事長	蔡見仁  先生	90/10/20	02-2634-0702		台北市內湖區康樂街193號1樓
126	中國世界和平友好大同會	社會團體	(其他公益團體)	理事長	林金瑛  女士	88/03/06	02-2838-2522		台北市北投區溫泉路86號
127	中國世界貿易發展協會   (解散)	社會團體	(經濟業務團體)		  	83/01/15	02-2559-8000	8303032	台北市南京西路一六七巷三七號四樓
128	中國世紀佛教協進會	社會團體	(宗教團體)	理事長	釋惟覺  	88/11/23	049-293-0215		南投縣埔里鎮中台路一號
129	中國仙教會	社會團體	(宗教團體)	理事長	邱雲正  先生	79/01/14	02-2259-8531	0910010664	新北市板橋區民生路三段255號
130	中國功夫協會	社會團體	(體育運動團體)	理事長	張達雄  先生	81/12/13	04-25664397	8273330	臺中市大雅區中正路65號
131	中國北京大學台灣校友會	社會團體	(同學校友會)	理事長	李玉文  先生	98/01/18	07-3225888	0980022953	高雄市三民區同盟二路21號
132	中國占驗協會   (解散)	社會團體	(學術文化團體)	理事長	邱天相  	81/07/26	02-2984-3191		台北縣三重市重陽路二段三四巷四○號一樓
133	中國占驗道教會	社會團體	(宗教團體)	理事長	林漢彰  先生	81/07/26	02-2984-2791		新北市三重區力行路1段83號2樓
134	中國古典文學研究會	社會團體	(學術文化團體)	理事長	李立信  	68/04/29	04-2359-0251	台內社3714	臺中市龍井區東海里遠東街206巷9號
135	中國古典舞推廣學會	社會團體	(體育運動團體)	理事長	陳永佳  先生	100/12/04	0982-484477	1000256598	新北市土城區永寧路10號
136	中國台海關係研究發展協會	社會團體	(學術文化團體)	理事長	李春凰  女士	88/05/08	07-7912998	8825775	高雄市小港區孔宅街5號
137	中國台商投資經營協會	社會團體	(經濟業務團體)	理事長	陳明璋  先生	84/11/19	02-27371611	8575706	台北市大安區基隆路2段221號4樓
138	中國台商發展促進協會	社會團體	(經濟業務團體)	理事長	章孝嚴  	89/12/19	02-2358-2353		台北市林森南路十號十一樓之二
139	中國市政學會	社會團體	(學術文化團體)	理事長	周家華  先生	42/11/01	02-27135697	8426786	105臺北市松山區南京東路4段107號11樓之1
140	中國幼兒教育策進會	社會團體	(學術文化團體)	理事長	黃仁瑩  先生	80/12/08	05-3628850	8076856	613嘉義縣朴子市朴子三路171號
141	中國幼兒教師協進會   (解散)	社會團體	(學術文化團體)	理事長	蔡定松  	86/11/22	02-2897-0301		台北市北投區中央北路二段九五巷一弄四十號
142	中國幼稚教育學會	社會團體	(學術文化團體)	理事長	林育瑋  女士	48/04/01	03-4072882		桃園縣龍潭鄉渴望路660巷50弄1號
143	中國正一道教總會	社會團體	(宗教團體)	理事長	張懿鳳  女士	98/06/06	049-2553566	0980111591	南投縣草屯鎮御史里美村巷51弄2號
144	中國正宗腳底穴道療法研究會	社會團體	(醫療衛生團體)	理事長	陳義雄  	89/12/17	02-2621-3692		新北市淡水區新生街五一巷一號
145	中國正統民俗風水教育協會	社會團體	(學術文化團體)	理事長	謝沅瑾  先生	100/09/08	02-27569880	1000187329	臺北市信義區松隆路157號1樓
146	中國民俗文化研究學會	社會團體	(學術文化團體)	理事長	張乃真  女士	87/02/28	02-2563-0036	0910019359	臺北市中山北路1段152號6樓602室
147	中國民俗技藝學會   (解散)	社會團體	(學術文化團體)	理事長	柯正己  	81/11/22	07-581-0058		高雄市左營區實踐路5之2號
148	中國民俗推拿整復協進會	社會團體	(醫療衛生團體)	理事長	林國華  先生	87/07/05	02-2728-2067	8790228	台北市大道路91號1樓
149	中國民俗童玩推廣協會	社會團體	(學術文化團體)	理事長	張才洪  先生	85/03/17	0952006332	8511776	台北市中山區松江路372巷12號B1
150	中國民俗經絡調理強身協會	社會團體	(醫療衛生團體)	理事長	陳辰男  	89/05/21	03-346-5789	8916587	桃園市春日路六一０巷一四二號一樓
151	中國民俗學會	社會團體	(學術文化團體)		  	19/07/01			台北市西寧北路六二之三號五樓
152	中國民俗療法經絡推拿足壓協會	社會團體	(醫療衛生團體)	理事長	葉松木  先生	92/12/16	02-2312-2747	0930002108	台北市中正區忠孝西路1段41號14樓11及10室
153	中國民俗療法經絡養生保健協會	社會團體	(醫療衛生團體)	理事長	楊舜雯  女士	86/01/01	04-22217089	8674111	臺中市中區綠川東街32號7樓9室
154	中國民俗禮儀改革發展協會   (解散)	社會團體	(學術文化團體)	理事長	葉坤川  	90/09/01	05-2813-599		嘉義市德安路29號7樓之2
155	中國民國熊氏太極拳協會	社會團體	(體育運動團體)	理事長	王光遠  先生	96/08/19	0972123357	0960145023	260宜蘭縣宜蘭市國榮路75巷1弄11號
156	中國民族文化交流協進會	社會團體	(學術文化團體)	理事長	任時爕  先生	82/05/30	02-22453866	8214783	新北市中和區景平路642號2樓
157	中國民間流傳養生運動學會	社會團體	(醫療衛生團體)	理事長	黃枣  先生	82/11/11	02-2985-8796	8227931	新北市三重區中山路33巷12弄12之1號2樓
158	中國民間習用療法協會	社會團體	(醫療衛生團體)	理事長	周豊棋  先生	83/12/16	02-29946766	8332106	新北市新莊區中港一街84號2樓
159	中國民間療法推廣協會	社會團體	(醫療衛生團體)	理事長	黃正平  先生	84/05/29	02-2812-5744	8415737	台北市士林區重慶北路四段四九巷三一弄二三號四樓
160	中國玄宗學會	社會團體	(學術文化團體)	理事長	吳世專  	90/11/27	04-22651025	0910002043	台中市南區美村路二段一八一號七號
161	中國玄學研究會	社會團體	(學術文化團體)	理事長	賴兆彥  先生	79/04/08	03-3132321	8187205	桃園縣桃園市富國路861巷165號B棟
162	中國玉清覺修協會	社會團體	(宗教團體)	理事長	林正義  先生	86/01/12	04-9338118	8687195	彰化縣員林鎮山腳路五段312巷300號
163	中國玉器學會   (解散)	社會團體	(經濟業務團體)	理事長	張天駿  	84/04/01	02-2565-2265	台(84)內社字第8410882號	台北市長安東路二段一Ｏ六號十一樓
164	中國生物學會	社會團體	(學術文化團體)	理事長	黃浩仁  先生	48/01/24	02-77346267	197	116臺北市文山區汀洲路四段88號國立台灣師範大學生命科學系
165	中國生活禪協會   (解散)	社會團體	(宗教團體)	理事長	郭甘雨  先生	85/03/17	03-477-9318		桃園縣新屋鄉中華南路二段十三號
166	中國生理學會	社會團體	(醫療衛生團體)	理事長	謝博軒  先生	48/10/03	07-3422421-1503	430573	臺北市內湖區民權東路六段161號6樓  國防醫學院生理及生物物理學科
167	中國生態環保促進會	社會團體	(環保團體)	理事長	鄭文煌  先生	89/09/23	02-2516-7626	8977217	104臺北市中山區農安街32號7樓之1
168	中國白手創業協會	社會團體	(經濟業務團體)	理事長	王光和  	86/09/30	02-8787-9389	8635311	台北市南京東路五段一０二號三樓
169	中國石油學會	社會團體	(經濟業務團體)	理事長	朱少華  先生	51/10/28	02-23812244		100臺北市中正區重慶南路1段7號9樓
170	中國交通建設學會	社會團體	(經濟業務團體)	理事長	陳弘  先生	40/09/22	02-2351-1587		106臺北市金山南路2段111巷3號
171	中國休閒教育推展協會	社會團體	(體育運動團體)	理事長	孫慶國  先生	82/05/01	02-2362-6494	8211287	台北市羅斯福路3段281號9樓之1
172	中國伏羲氏堪輿研究協會	社會團體	(學術文化團體)	理事長	王青木  	89/02/27	02-8952-3322	8909634	宜蘭縣宜蘭市南僑路二十七號
173	中國企業社會責任標準學會	社會團體	(學術文化團體)	理事長	林昌輝  	91/08/30	02-29782079	0910069867	新北市三重區仁賢街3號3樓
174	中國全民福利協進會	社會團體	(社會服務及慈善團體)	理事長	謝子文  先生	83/04/10	04-8340-751	8310322	彰化縣員林鎮中山南路十一號四樓之三
175	中國全真道教科儀經懺協會	社會團體	(宗教團體)	理事長	謝秀蓉  女士	99/03/20	08-7380224	0990070219	屏東縣長治鄉新潭村單座1巷6號
176	中國全真道教會	社會團體	(宗教團體)	理事長	楊建成  先生	88/08/08	02-22583563	0940068041	新北市板橋區龍泉街55巷32號1樓
177	中國印刷學會	社會團體	(學術文化團體)	理事長	王祿旺  先生	45/09/28	02-2394-2615		臺北市仁愛路二段七一號六樓A室
178	中國合作學社	社會團體	(學術文化團體)	理事長	梁玲菁  女士	17/12/22	02-2321-9343		台北市中正區台北市福州街十一之二號二樓
179	中國回教協會	社會團體	(宗教團體)	理事長	張明峻  先生	38/07/26	02-23927364	台內社字第278號	台北市大安區新生南路二段六二號
180	中國回教青年會	社會團體	(宗教團體)	理事長	楊龍江  	38/07/28	02-2321-5421		台北市辛亥路一段二五巷三號
181	中國地方文獻學會   (解散)	社會團體	(學術文化團體)	理事長	萬耀煌  	59/04/26		362038	台北市延平南路八一號六樓
182	中國地方自治學會	社會團體	(學術文化團體)	理事長	常如玉  女士	34/01/26	02-29234918		新北市永和區自強街32巷5號5樓
183	中國地理風水研究協會	社會團體	(學術文化團體)	理事長	張天助  先生	86/07/27	02-2567-2155	8623698	臺北市新生北路一段四二號十一樓
