編號	名稱	分類	子分類	會長頭銜	會長姓名	成立日期	電話	核准立案字號	會址
31	中華民國全國工業總會	職業團體	(全國性工業團體-聯合會)	理事長	許勝雄  先生	37/10/11	02-27033500		台北市復興南路一段390號12樓
32	中華民國全國建築師公會	職業團體	(全國性自由職業團體)	理事長	許俊美  先生	69/03/03	2377-5108		台北市基隆路2段51號13樓之3
33	中華民國全國商業總會	職業團體	(全國性商業團體-聯合會)	理事長	賴正鎰  先生	35/11/01	02-27012671		10656台北市大安區復興南路1段390號6樓
34	中華民國全國教育會	職業團體	(全國性自由職業團體)	理事長	林耀東  先生	76/01/15	（04）7200651		彰化市民生路37號
35	中華民國全國教師會	職業團體	(全國性自由職業團體)	理事長	劉欽旭  先生	88/02/01	02-25675117		10448台北市中山北路2段99號4樓之1
36	中華民國全國營造業工地主任公會	職業團體	(全國性自由職業團體)	理事長	陳憲治  先生	95/03/29	02-22408183	內授中社字第0980001882號(換)	台北市大安區濟南路3段28號1樓
37	中華民國地政士公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	蘇榮淇  先生	83/12/28	02-25503434		台北市大同區長安西路29號4樓
38	中華民國米穀商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	吳源昌  先生	100/12/17	02-29867375	1015930334	新北市三重區中正北路18號4樓之9
39	中華民國自行車商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	黃榮一  先生	90/03/21	04-23727927		臺南市永康區永康工業區興工路24號
40	中華民國自動販賣商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	魏文彬  先生	102/05/14	04-23805420	1025058178	
41	中華民國西藥代理商業同業公會	職業團體	(全國性商業同業公會)	理事長	陳世雄  先生	88/10/26	02-25027121		台北市建國北路二段87號10樓之1
42	中華民國西藥商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	李榮煌  先生	79/01/06	02-2555-1466		台北市大同區承德路一段八號六樓
43	中華民國冷凍空調技師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	陳輝俊  先生	84/10/21	（02）2702-8931		台北市大安區安和路2段19號6樓
44	中華民國助產師助產士公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	黃鶴珠  女士	94/11/17	07-3222118		高雄市三民區十全二路317號4樓
45	中華民國助聽器商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	張錫忠  先生	100/03/05	02-2371.9049	1000006400	台北市重慶南路1段121號5樓之7
46	中華民國汽車材料商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	辛宗人  先生	96/04/15	07-7471670		高雄縣鳳山市鳳明街93號
47	中華民國汽車保養商業同業公會全國聯合會	職業團體	(全國性工業團體-聯合會)	理事長	柯育沅  先生		04786-9539		彰化縣花壇鄉中山路2段516號
48	中華民國汽車商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	戴成煜  先生	88/01/29	02-22656125		新北市土城區中華路2段61號
49	中華民國汽車貨運商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	梁國山  先生	75/02/05	02-27026023		台北市大安區信義路三段一六二號之三十(七樓)
50	中華民國汽車貨櫃貨運商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	范振修  先生	100/03/24	02-23702103	1000008161	臺北市忠孝西路一段41號13樓之11
51	中華民國汽車輪胎商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	陳文欽  先生	99/01/10	04-23851515	0990001488	台中市南屯區惠中路3段56巷18號
52	中華民國男子理燙髮商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	林俊雄  先生	93/02/25	0225023991		臺北市南京東路3段19號11F
53	中華民國豆腐商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	詹武雄  先生	102/01/07	04-25245265	1025930263	臺中市豐原區中山路252號
54	中華民國防火門商業同業公會	職業團體	(全國性商業同業公會)	理事長	林宗籐  先生	101/07/14	02-29991397	1015934160	
55	中華民國刻印商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	許欽薰  先生	101/03/17	04-22125880		臺中市東區雙十路1段4之33號8樓
56	中華民國呼吸治療師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	朱家成  先生	95/12/03	03-3971541	內授中社0950017958	桃園縣龜山鄉復興街5號2樓呼吸治療科
57	中華民國法醫師公會	職業團體	(全國性自由職業團體)	理事長	邱清華  先生	97/03/03	02-23123456轉5492、5489	內授中社字第0970004358號	台北市中山南路7號3樓台大法醫學所
58	中華民國物理治療生公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	蔡昇鴻  	102/02/03	04-22615022	1025930973	420臺中市南區大慶街2段7巷37號6樓
59	中華民國物理治療師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	楊政峯  先生	88/07/25	04-23597878		台中市南屯區區向心南路892巷31號
60	中華民國社會工作師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	陳明珍  女士	91/10/19	06-6567005		臺南市新營區中正路94-1號
61	中華民國金銀珠寶商業同業公會全國聯合會	職業團體	(全國性商業同業公會)	理事長	蘇宗光  先生				高雄市路竹區中山路568號
62	中華民國金融機構不良資產管理商業同業公會	職業團體	(全國性商業同業公會)	理事長	林資雄  先生	97/08/08	02-77205188	0970703267	臺北縣板橋市三民路1段216號13樓A室
63	中華民國金屬家具商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	呂三郎  先生	102/04/06	02-23114679	1025056609	臺北市開封街1段42號4樓
64	中華民國青果商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	邱進福  先生	96/02/25	0912188830		屏東市崇陽街155巷25號
65	中華民國非破壞檢測商業同業公會	職業團體	(全國性商業同業公會)	理事長	林富貴  先生	92/08/31	07-3528708		高雄市楠梓區楠陽路81號8樓
66	中華民國非破壞檢測從業人員公會	職業團體	(全國性自由職業團體)	理事長	吳肅金  先生	91/09/28	02-2561-3456		104台北市中山區吉林路218巷21號
67	中華民國信託業商業同業公會	職業團體	(全國性商業同業公會)	理事長	沈臨龍  先生	90/03/07	02-23515299		台北市中正區羅斯福路1段7號4樓
68	中華民國保全商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	劉正昆  先生	98/12/17	02-25112830	0980023837	台北市長春路16號3樓
69	中華民國保險代理人商業同業公會	職業團體	(全國性商業同業公會)	理事長	許文通  先生	87/12/17	02-87129492		105台北市松山區長春路442號4樓
70	中華民國保險經紀人公會	職業團體	(全國性自由職業團體)	理事長	吳慶明  先生	96/07/31	02-27495452	內授中社0960015431	台北市南港區南港路2段147號6樓
71	中華民國保險經紀人商業同業公會	職業團體	(全國性商業同業公會)	理事長	李傳晧  先生	88/10/16	02-2517-4939		台北市中山區民權東路三段45號4樓
72	中華民國室內設計裝修商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	康文昌  先生	81/06/03	02-2735-7580		台北市復興南路2段286號8樓
73	中華民國建築物公共安全檢查商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	劉進明  先生	100/12/15	02-23651260	1015030252	臺北市中正區羅斯福路3段100號3樓之9
74	中華民國建築經理商業同業公會	職業團體	(全國性商業同業公會)	理事長	曹奮平  先生	87/07/23	(02)23778862		台北市基隆路二段189號12樓之4
75	中華民國律師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	林國明  先生	37/09/09	02-23312865		台北市重慶南路一段130號5樓
76	中華民國洗衣商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	王為模  先生	96/01/14	07-7231166		高雄市苓雅區武廟路157-3號
77	中華民國計程車客運商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	梁平良  先生	94/06/30	(02)2767-3150		台北市光復南路13巷31號4樓
78	中華民國食油商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	王令一  先生	78/04/12	02-23717702		臺北市忠孝西路1段6號11樓
79	中華民國家具商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	陳金榮  先生	88/12/27	02-66266688轉213		11494臺北市內湖區舊宗路1段88號
80	中華民國家畜肉類商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	侯伯岳  先生	87/03/22	04-22809388		台中市東區建興街44號
81	中華民國展覽暨會議商業同業公會	職業團體	(全國性商業同業公會)	理事長	林茂廷  先生	97/06/17	02-26579387		台北市內湖區港墘路185號3樓
82	中華民國旅行商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	許禓哲  先生	90/10/02	02-27790008		104台北市龍江路23號3樓
83	中華民國旅館商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	徐銀樹  先生	87/02/25	02-25643733		台北市中山區長春路39號
84	中華民國消防工程器材商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	張子森  先生	98/10/09	02-23093476		台北市中華路2段459-1號3樓
85	中華民國消防設備師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	曾順正  先生	95/08/05	02-25064127	內授中社0950702810	台北市中山區長安東路2段63號9樓之1
86	中華民國留學服務商業同業公會	職業團體	(全國性商業同業公會)	理事長	洪世英  女士	94/12/22	（02）2721-3062		台北市復興北路15號1122室
87	中華民國紙器商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	江文章  先生	99/06/20	04-25262013		臺中市豐原區成功路622號6樓
88	中華民國能源技術服務商業公會	職業團體	(全國性商業同業公會)	理事長	陳輝俊  先生	97/08/14	02-89146171	0970013512	台北縣新店市寶橋路48號6樓之3
89	中華民國記帳士公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	施榮源  先生	96/11/28	07-2220715	內授中社0960019747	高雄市新興區中正三路5勞5樓之9
90	中華民國記帳及報稅代理業務人公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	蔡沼玲  女士	95/05/02	04-7282601		50068彰化縣彰化市泰和中街52號1樓
91	中華民國高壓氣體商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	徐飛虎  先生	98/08/18	04-25283055		台中縣豐原市中山路252號
92	中華民國專利師公會	職業團體	(全國性自由職業團體)	理事長	蔣大中  先生	98/12/11	02-25642565	內授中社字第0980023635	台北市松江路148號11樓
93	中華民國液化氣體燃料商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	吳劍勳  先生	96/10/31	05-2890669	0960018614	嘉義縣水上鄉義興村溪州仔8-10號
94	中華民國清潔服務商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	李冠億  先生	91/11/15	02-27933249	台內中社字第0910031413	台北市松山區八德路4段678號9樓之1
95	中華民國產物保險商業同業公會	職業團體	(全國性商業同業公會)	理事長	戴英祥  先生	87/06/17	(02)2507-1566		台北市南京東路二段125號13樓
96	中華民國票券金融商業同業公會	職業團體	(全國性商業同業公會)	理事長	吳正慶  先生	91/06/18	(02)2516-7416		台北市南京東路2段137號13樓
97	中華民國移民商業同業公會	職業團體	(全國性商業同業公會)	理事長	王權宏  先生	90/07/23	02-27788240		台北市松山區105復興南路一段一號九樓之五
98	中華民國船長公會	職業團體	(全國性自由職業團體)	理事長	林光銘  先生	50/07/08	02-2712-0022		台北市南京東路四段七十五號七樓
99	中華民國船務代理商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	李健發  先生	79/05/11	(02)2508-0106		台北市建國北路2段3巷15號6樓之2
100	中華民國都市計畫技師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	張吉宏  先生	94/10/22	02-87128422		台北市一江街60號3樓
101	中華民國魚類商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	吳鐘添  先生	79/04/18	（07）6179017		高雄市梓官區禮蚵里光明路94號
102	中華民國創業投資商業同業公會	職業團體	(全國性商業同業公會)	理事長	林坤銘  先生	88/05/20	25450075		105台北市民權東路三段142號301室
103	中華民國景觀工程商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	湛錦源  先生	92/05/24	04-22656750		臺中市忠明南路787號9樓
104	中華民國期貨業商業同業公會	職業團體	(全國性商業同業公會)	理事長	賀鳴珩  先生	93/06/21	02-87737303		台北市忠孝東路4段169號11樓
105	中華民國植物保護商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	黃耀山  先生	101/08/10	07-6969589	1015065253	高雄市路竹區復興路207號
106	中華民國測繪業商業同業公會	職業團體	(全國性商業同業公會)	理事長	黃煌輝  先生	97/08/26	02-25335681	0970014898	台北市中山區北安路458巷39號3樓
107	中華民國結構工程技師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	蔡榮根  先生	81/08/29	02-87681117		台北市11070信義區東興路37號7樓
108	中華民國園藝花卉商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	陳江泗  先生	91/04/16	02-29437081		台北縣中和市景平路115號
109	中華民國塑膠製品商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	陳忠政  先生	92/09/16	06-2321566		臺南市永康區中華路578巷40號
110	中華民國塗料油漆商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	賴正庭  	102/09/05	049-2393006		南投市光榮東路68巷64號
111	中華民國會計師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	羅淑蕾  女士	35/12/25	02-23215041		100台北市中正區南海路1號9樓之1
112	中華民國葬儀商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	李少成  先生	91/04/12			台北市民權東路2段198號2樓
113	中華民國遊藝場商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	楊晚得  先生	89/10/20	02-29751896		241台北縣三重市集成路17號3樓
114	中華民國遊覽車客運商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	徐浩源  先生	73/07/06	（02）23611091		台北市愛國西路9號5樓之9
115	中華民國電影戲劇商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	許金順  先生	86/01/10	02-2312-1177		台北市中華路一段196號9樓
116	中華民國電器商業同業會公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	張簡敏杰  先生	97/10/13	02-25531880	0970703360	台北市民生西路161號2樓
117	中華民國電機技師公會	職業團體	(全國性自由職業團體)	理事長	彭繼傳  先生	101/03/20		1015056975	
118	中華民國電機技師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	江長樹  先生	75/05/26	（02）2778-8898		106-91 台北市大安區忠孝東路四段69-10號11F
119	中華民國語言治療師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	蘇心怡  女士	102/07/14	同上	內授中團字號第1025061762號	同上
120	中華民國銀行商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	李紀珠  女士	72/08/09	(02)8596-2229		台北市中山區德惠街9號3樓
121	中華民國廢棄物清除處理商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	林士聖  先生	87/08/05	04-7370022		50096彰化縣彰化市台鳳里一心南街326巷14號
122	中華民國廢機動車輛回收處理商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	王志遠  先生	101/11/21	04-23817299	1015071440	臺中市南屯區永春南路430巷168號
123	中華民國廚具商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	曾志明  先生	93/03/13	02-27569872		臺北市信義區中坡北路17號2F
124	中華民國廣告工程商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	白錫聰  先生	94/12/20	04-22207775	內授中社字第0950000545號	臺中市西區市府路39號7樓之1
125	中華民國廣播商業同業公會	職業團體	(全國性商業同業公會)	理事長	馬長生  先生	98/03/26	02-2507-3322	0980703281	
126	中華民國廣播電視節目製作商業同業公會	職業團體	(全國性商業同業公會)	理事長	俞小佩  先生	96/08/17	02-66003636		台北市內湖區瑞光路34號B1
127	中華民國蔬菜商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	曾水源  先生	87/07/24	02-24315897		基隆市安樂區麥金路127巷8號
128	中華民國衛星廣播電視事業商業同業公會	職業團體	(全國性商業同業公會)	理事長	練成瑜  先生	95/01/11	02-26595812		台北市瑞湖街39號11樓
129	中華民國輪船商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	盧峯海  先生	36/07/03	(02) 2311-1230		台北市重慶南路一段10號5樓508室
130	中華民國齒模製造技術員公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	黃基福  先生	90/09/23	05-2815181		嘉義市西區永吉三街29號
131	中華民國橡膠製品商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	吳施鴻  先生	86/08/22	03-8322889		花蓮縣花蓮市中正路297號1樓
132	中華民國機車商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	許萬長  先生	94/01/05	07-3872128		高雄市三民區建工路686號
133	中華民國諮商心理師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	徐西森  先生	99/01/23	03-5712121		新竹市南大路521號1305室
134	中華民國應用地質技師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	黃鎮臺  先生	86/11/06	02-27093335		台北市新生南路1段140巷13號1樓
135	中華民國營建剩餘土石方資源處理商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	陳偉國  先生	98/05/20	02-26947677		台北縣汐止市原興路69號4樓
136	中華民國營造工程工業同業公會全國聯合會	職業團體	(全國性工業團體-聯合會)	理事長	潘俊榮  先生	36/07/10	（02）2311-1572		台北市開封街2段40號3樓
137	中華民國營造業專任工程人員公會	職業團體	(全國性自由職業團體)	理事長	陳玉昆  先生	93/12/31	02-87854994		台北市忠孝東路5段623號7樓
138	中華民國營養師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	蔡玲貞  女士	84/06/10	02-29633530		新北市板橋區館前東路116號2樓之8
139	中華民國環境工程技師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	楊基振  先生	82/11/20	02-25507826		台北市長安西路342號4樓之1
140	中華民國環境檢驗測定商業同業公會	職業團體	(全國性商業同業公會)	理事長	蔡顯修  先生	88/12/23	03-5531228		新竹縣竹北市中和街55號
141	中華民國臨床心理師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	蔣世光  先生	94/08/06	03-3369878		桃園市中山路532之1號3樓
142	中華民國職能治療師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	張自強  先生	90/10/06	02-26101237		台北縣八里鄉華富山33號
143	中華民國轉運商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	楊爾鏗  先生	37/10/20	02-23926152		台北市北平東路24號5F之2
144	中華民國醫事放射師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	魏聰文  先生	90/06/23	02-25585191		台北市重慶北路二段35號6樓之1
145	中華民國醫事檢驗生公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	郭寶珍  先生	92/10/18	037-663548		苗栗縣頭份鎮和平路63號
146	中華民國醫事檢驗師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	吳俊忠  先生	72/01/16	(02)2394-9182		台北市中正區羅斯福路2段70號6樓之2
147	中華民國醫師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	蘇清泉  先生		02-27527286		台北市安和路1段29號9樓
148	中華民國醫療器材商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	黃隆盛  先生	100/05/27	02-23711519	1000013606	台北市中正區開封街1段105號4樓之8
149	中華民國寵物商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	陳明進  先生	100/06/08	02-27393290	1000013716	台北市大安區基隆路2段142-2號2樓
150	中華民國獸醫師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	郭丑哲  先生	87/09/28	02-23683463		彰化市中央路2號
151	中華民國藥師公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	李蜀平  先生	69/06/28	02-25953856		台北市中山區民權東路一段67號5樓
152	中華民國藥劑生公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	蘇新田  先生	71/03/11	02-27132682		台北市南京東路4段103號7樓
153	中華民國證券投資信託暨顧問商業同業公會	職業團體	(全國性商業同業公會)	理事長	林弘立  先生	87/10/08	2581-7288		台北市中山區長春路145號3樓
154	中華民國證券商業同業公會	職業團體	(全國性商業同業公會)	理事長	簡鴻文  先生	87/04/04	(02)27374721		台北市復興南路2段268號6樓
155	中華民國攝影商業同業公會全國聯合會	職業團體	(全國性商業團體-聯合會)	理事長	鄭華祥  先生	87/09/16	02-29527388		新北市板橋區民權路5巷1弄9號之2
156	中華民國護理師護士公會全國聯合會	職業團體	(全國性自由職業團體)	理事長	盧美秀  女士		02-25502283		103台北市大同區承德路1段70-1號14樓
157	中華民國觀光旅館商業同業公會	職業團體	(全國性商業同業公會)	理事長	賴正鎰  先生	96/01/27	02-287123892	內授中社字第0960001815號	台北市復興北路369號8樓之1
158	台灣加工出口區光學及精密儀器工業同業公會	職業團體	(台灣加工出口區工業團體)	理事長	賴慶森  先生	71/07/26	04-2534-2550		台中縣潭子鄉台中加工出口區南二路22-3號
159	台灣加工出口區金屬品冶製工業同業公會	職業團體	(台灣加工出口區工業團體)	理事長	楊瑞盛  先生	59/06/16	07-3642510		高雄市楠梓加工出口區經2路15號2樓
160	台灣加工出口區塑膠製品工業同業公會	職業團體	(台灣加工出口區工業團體)	理事長	呂金虎  先生	58/02/05	07-3617163	(81)內字第8113862號	高雄市楠梓加工區經四路27號
161	台灣加工出口區電機電子工業同業公會	職業團體	(台灣加工出口區工業團體)	理事長	徐漢忠  先生	58/02/05	(07) 3632250		高雄市楠梓區加昌路600之6號
162	台灣加工出口區綜合工業同業公會	職業團體	(台灣加工出口區工業團體)	理事長	朱立人  先生	58/02/05	07-8319394		高雄市高雄加工出口區北一路7號2樓
163	台灣加工出口區製衣工業同業公會	職業團體	(台灣加工出口區工業團體)	理事長	林淑蓉  女士	58/02/05	07-8215066		高雄市前鎮區高雄加工出口區北一路7號2樓
164	台灣省土木包工商業同業公會聯合會	職業團體	(省級商業團體)	理事長	蔡錦樟  先生	63/12/24	03-8322479		花蓮市光復街63號
165	台灣省土木技師公會	職業團體	(省級自由職業團體)	理事長	施義芳  先生	76/07/27	（02）8961-3968		台北縣板橋市三民路二段37號12樓A3
166	台灣省女子美容商業同業公會聯合會	職業團體	(省級商業團體)	理事長	王順德  先生	68/03/25	(02)2427-7766		基隆市200仁愛區愛三路80號3樓
167	台灣省小客車租賃商業同業公會聯合會	職業團體	(省級商業團體)	理事長	蔡玉泉  先生	78/11/28	037-661176		苗栗縣頭份鎮中華路1514號
168	台灣省工業會	職業團體	(省級工業團體)	理事長	蔡圖晉  先生		02-27074339		台北市敦化南路二段二號三樓之二
